Waf: Entering directory `/root/ns-allinone-3.33/ns-3.33/build'
[2920/2991] Compiling scratch/test.cc
[2950/2991] Linking build/scratch/test
Waf: Leaving directory `/root/ns-allinone-3.33/ns-3.33/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.343s)
~~~Using tcp TIMELY ~~~
Configured incast nodes number: 10
Q,1,1000022
Q,0,1000022
Q,1,1000022
Q,0,1000046
Q,1,1000117
Q,0,1000149
Q,1,1000219
Q,0,1000219
Q,1,1001022
Q,0,1001022
Q,1,1001117
Q,0,1001117
Q,1,1001275
Q,0,1001275
Q,1,1001375
Q,0,1001375
Q,1,1001573
Q,0,1001573
Q,1,1001771
Q,0,1001771
Q,1,1001968
Q,0,1002003
Q,1,1002022
Q,2,1002166
Q,1,1002201
Q,0,1002271
Q,1,1002342
Q,2,1002364
Q,1,1002497
Q,0,1002525
Q,1,1002562
Q,0,1002722
Q,1,1002759
Q,0,1002946
Q,1,1002957
Q,0,1003144
Q,1,1003155
Q,2,1003353
Q,1,1003385
RTT,1125,1003405
G,0,1003405
RTT,1234,1003456
RTT,1330,1003482
Q,0,1003582
Q,1,1003679
RTT,1413,1003710
Q,0,1003852
Q,1,1003906
Q,2,1004022
Q,3,1004022
Q,2,1004050
Q,3,1004104
Q,2,1004274
Q,1,1004298
RTT,1612,1004303
Q,0,1004322
Q,1,1004500
Q,0,1004520
Q,1,1004697
Q,0,1004718
RTT,1785,1004996
G,0.352,1004996
Q,1,1005015
Q,0,1005015
Q,1,1005022
Q,2,1005022
Q,3,1005042
Q,4,1005066
Q,3,1005189
Q,4,1005193
Q,3,1005245
Q,4,1005265
Q,3,1005314
Q,4,1005316
RTT,1812,1005343
Q,5,1005384
Q,4,1005388
Q,3,1005447
Q,4,1005455
Q,5,1005463
Q,6,1005540
Q,5,1005644
Q,6,1005660
Q,5,1005671
Q,4,1005698
Q,3,1005726
Q,4,1005738
Q,3,1005750
Q,4,1005826
Q,5,1005858
Q,4,1005979
Q,5,1006024
Q,6,1006056
RTT,1835,1006061
Q,7,1006221
Q,6,1006225
Q,7,1006254
Q,8,1006258
Q,9,1006419
Q,8,1006423
Q,9,1006451
Q,10,1006456
Q,11,1006617
Q,10,1006621
Q,9,1006647
Q,10,1006649
Q,11,1006815
Q,10,1006845
Q,11,1006847
Q,12,1007012
Q,11,1007043
Q,12,1007045
Q,13,1007210
Q,12,1007240
Q,13,1007242
RTT,4625,1007391
G,0,1007391
Q,14,1007408
Q,13,1007438
Q,14,1007606
Q,13,1007636
Q,14,1007803
Q,13,1007834
Q,12,1008032
Q,11,1008229
Q,10,1008427
Q,9,1008625
Q,8,1008823
Q,7,1009020
Q,8,1009022
Q,9,1009022
Q,8,1009218
Q,7,1009416
Q,6,1009614
Q,5,1009811
Q,4,1010009
Q,3,1010207
Q,2,1010405
Q,1,1010602
Q,0,1010627
Q,1,1010732
Q,0,1010732
RTT,2356,1010737
G,0.445333,1010737
RTT,4671,1010763
RTT,5000,1010820
G,0,1010820
Q,1,1010866
Q,0,1010866
Q,1,1010891
RTT,4712,1010895
Q,2,1010934
RTT,5000,1010948
Q,3,1010994
