Waf: Entering directory `/root/ns-allinone-3.33/ns-3.33/build'
[2920/2991] Compiling scratch/test.cc
[2950/2991] Linking build/scratch/test
Waf: Leaving directory `/root/ns-allinone-3.33/ns-3.33/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.074s)
~~~Using tcp TIMELY ~~~
Configured incast nodes number: 7
Q,1,1000012
Q,0,1000012
Q,1,1000064
Q,0,1000064
Q,1,1003012
Q,0,1003012
Q,1,1003064
Q,0,1003064
Q,1,1004116
Q,0,1004116
Q,1,1004171
Q,0,1004171
Q,1,1004271
Q,0,1004271
Q,1,1004371
Q,0,1004371
Q,1,1004471
Q,0,1004471
Q,1,1004571
Q,0,1004571
Q,1,1004670
Q,0,1004670
Q,1,1004770
Q,0,1004770
Q,1,1004870
Q,0,1004870
Q,1,1004970
Q,0,1004970
Q,1,1005012
Q,2,1005012
Q,1,1005069
Q,2,1005070
Q,1,1005082
Q,0,1005095
Q,1,1005170
Q,0,1005195
Q,1,1006012
Q,0,1006012
Q,1,1006012
Q,0,1006024
RTT,3750,1006138
G,0,1006138
RTT,3531,1006152
RTT,3339,1006166
RTT,3172,1006181
Q,1,1006208
Q,0,1006208
Q,1,1006221
Q,0,1006222
Q,1,1006287
Q,0,1006287
Q,1,1006300
Q,0,1006301
Q,1,1006303
Q,0,1006330
Q,1,1006339
Q,2,1006403
Q,1,1006429
Q,0,1006443
Q,1,1006503
Q,0,1006543
Q,1,1007013
Q,0,1007013
RTT,3150,1007038
RTT,3131,1007065
RTT,2865,1007079
Q,1,1007112
Q,0,1007112
Q,1,1007212
Q,0,1007212
Q,1,1007258
Q,0,1007311
Q,1,1007312
Q,2,1007358
Q,1,1007411
Q,2,1007412
Q,3,1007458
Q,2,1007511
Q,3,1007512
Q,4,1007558
Q,3,1007611
Q,4,1007612
Q,5,1007658
Q,4,1007711
Q,5,1007712
Q,6,1007757
Q,5,1007811
Q,6,1007812
Q,5,1007910
Q,6,1007911
Q,5,1008010
Q,6,1008011
Q,5,1008110
Q,4,1008210
Q,3,1008310
Q,2,1008410
Q,1,1008510
Q,0,1008610
Q,1,1009012
Q,0,1009012
RTT,5625,1009266
G,0,1009266
RTT,5296,1009280
RTT,2757,1009294
RTT,5009,1009308
RTT,4758,1009336
Q,1,1009394
Q,0,1009394
Q,1,1009403
Q,2,1009413
Q,3,1009436
RTT,4538,1009463
Q,2,1009493
Q,3,1009494
Q,2,1009506
Q,1,1009521
Q,2,1009603
Q,1,1009621
RTT,2662,1009630
RTT,2579,1009644
Q,2,1009702
Q,1,1009721
Q,2,1009763
Q,1,1009820
Q,2,1009863
Q,1,1009920
Q,2,1009963
Q,1,1010020
Q,2,1010063
Q,1,1010120
